Tipo de Ciclo,Matricula,CURP Alumno,Nombre Alumno,Fecha Nacimiento,Sexo,Estado Alumno,Nombre Tutor,Parentesco,Telefono Tutor,Correo Tutor,Nivel Educativo Destino,Grado Destino,Grupo Destino,Plan de Pago Asignado
ANUAL,B5-2026-01dadsadsa,,Lamin hernandez,0002-03-04,M,ACTIVO,Erling Braut Haaland ,Tutor,9212896184,48m167@gmail.com,Preescolar,1º Grado,K,
SEMESTRAL,K2-2026-04,QWERT2501485565695,FERNANDO PALOMO,2001-01-22,M,ACTIVO,Erling Braut Haaland ,Tutor,9212896184,48m167@gmail.com,Bachillerato,5º Semestre,B,
ANUAL,K3-2026-01,,Christian Octavio Martinoli Curi ,2014-02-08,M,ACTIVO,Erling Braut Haaland ,Tutor,9212896184,48m167@gmail.com,Preescolar,1º Grado,K,Plan 12 Meses
ANUAL,B5-2026-24,,kim taehyung,2026-07-10,M,ACTIVO,,PADRE,,,Primaria,2º Grado,P,Plan 12 Meses
SEMESTRAL,B5-2026-12,,soft restaurant,2026-07-25,M,BAJA_TEMPORAL,,PADRE,,,Bachillerato,1º Semestre,B,Plan 12 Meses
ANUAL,B5-2026-12,,soft restaurant,2026-07-25,M,BAJA_TEMPORAL,,PADRE,,,Preescolar,1º Grado,B,
ANUAL,B5-2026-01,CULE220205HVZRPLA7,DANAE  GARCÍA  JIMÉNEZ,1221-05-07,M,BAJA_DEFINITIVA,Erling Braut Haaland ,Tutor,9212896184,48m167@gmail.com,Preescolar,1º Grado,K,Plan 12 Meses
SEMESTRAL,B5-2026-05,CULE220205HVZRPLtv,Cristiano ronaldiño,2026-07-01,M,ACTIVO,vozinha,Tutor,9992746566,caboverdiano@gmail.com,Bachillerato,1º Semestre,B,Plan 12 Meses
ANUAL,K3-2026-08,,Kevis,2012-05-08,M,BAJA_DEFINITIVA,,PADRE,,,Preescolar,1º Grado,B,
ANUAL,K1-2026-598959,,alumno para eliminar,2020-05-05,M,BAJA_DEFINITIVA,Erling Braut Haaland ,Tutor,9212896184,48m167@gmail.com,Preescolar,1º Grado,K,
ANUAL,B5-2026-09,,Sofia Mendoza,2026-07-02,F,ACTIVO,vozinha,Tutor,9992746566,caboverdiano@gmail.com,Primaria,1º Grado,P,
SEMESTRAL,B5-2026-09,,Sofia Mendoza,2026-07-02,F,ACTIVO,vozinha,Tutor,9992746566,caboverdiano@gmail.com,Bachillerato,1º Semestre,B,
SEMESTRAL,K3-2026-01262669,,Cinepolis,2502-05-09,F,ACTIVO,Erling Braut Haaland ,Tutor,9212896184,48m167@gmail.com,Bachillerato,5º Semestre,B,
ANUAL,K3-2026-01262669,,Cinepolis,2502-05-09,F,ACTIVO,Erling Braut Haaland ,Tutor,9212896184,48m167@gmail.com,Preescolar,1º Grado,K,Plan 12 Meses
ANUAL,K3-2026-09,,stephen curry,2026-07-03,M,ACTIVO,Erling Braut Haaland ,Tutor,9212896184,48m167@gmail.com,Preescolar,2º Grado,K,Plan 10 Meses
ANUAL,K3-2026-01fdsfdsadsafdsfdsfds,fdsfdsfdsfdsfsdfds,francia,1202-12-12,F,ACTIVO,vozinha,Tutor,9992746566,caboverdiano@gmail.com,Preescolar,1º Grado,K,
SEMESTRAL,11111111,,michael jordan,2026-07-18,M,ACTIVO,Erling Braut Haaland ,Tutor,9212896184,48m167@gmail.com,Bachillerato,1º Semestre,B,Plan 12 Meses
SEMESTRAL,B5-2026-01dadsadsa,,Lamin hernandez,0002-03-04,M,ACTIVO,Erling Braut Haaland ,Tutor,9212896184,48m167@gmail.com,Bachillerato,1º Semestre,B,
SEMESTRAL,fdsfdsfdsfsdadsa,,Late,2020-02-06,M,ACTIVO,vozinha,Tutor,9992746566,caboverdiano@gmail.com,Bachillerato,2º Semestre,B,
ANUAL,fdsfdsfdsfsdadsa,,Late,2020-02-06,M,ACTIVO,vozinha,Tutor,9992746566,caboverdiano@gmail.com,Preescolar,1º Grado,K,
